bins	Archaeal_16S_rRNA	Archaeal_23S_rRNA	Archaeal_5S_rRNA	Archaeal_5_8S_rRNA	Bacterial_16S_rRNA	Bacterial_23S_rRNA	Bacterial_5S_rRNA	Eukaryotic_28S_rRNA	Eukaryotic_5S_rRNA	Eukaryotic_5_8S_rRNA	Mitochondrial_12S_rRNA	Mitochondrial_16S_rRNA
MIT9322	2	2	0	0	0	0	0	0	0	0	0	0
MIT9401	2	2	0	0	0	0	0	0	0	0	0	0
MIT9515	2	2	0	0	0	0	0	0	0	0	0	0
NATL1A	2	2	0	0	0	0	0	0	0	0	0	0
NATL2A	2	2	0	0	0	0	0	0	0	0	0	0
PAC1	2	2	0	0	0	0	0	0	0	0	0	0
SB	2	2	0	0	0	0	0	0	0	0	0	0
SS2	2	2	0	0	0	0	0	0	0	0	0	0
SS35	2	2	0	0	0	0	0	0	0	0	0	0
SS51	2	2	0	0	0	0	0	0	0	0	0	0
